iShares ESG Optimized MSCI USA ETF
Fund Holdings as of,"Sep 16, 2026"
Inception Date,"Jan 24, 2005"
Shares Outstanding,"25,950,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"PLD","PROLOGIS REIT","Real Estate","Equity","6,886,005.12","0.17","6,886,005.12","51,488.00","133.74","United States","NYSE","USD","1.00","USD","-"
"ICE","INTERCONTINENTAL EXCHANGE INC","Financials","Equity","6,597,791.50","0.17","6,597,791.50","42,815.00","154.10","United States","NYSE","USD","1.00","USD","-"
"DECK","DECKERS OUTDOOR","Consumer Discretionary","Equity","6,535,386.80","0.16","6,535,386.80","83,830.00","77.96","United States","NYSE","USD","1.00","USD","-"
"FERG","FERGUSON ENTERPRISES INC","Industrials","Equity","6,511,095.60","0.16","6,511,095.60","30,376.00","214.35","United States","NYSE","USD","1.00","USD","-"
"SYF","SYNCHRONY FINANCIAL","Financials","Equity","6,417,066.24","0.16","6,417,066.24","85,698.00","74.88","United States","NYSE","USD","1.00","USD","-"
"SLB","SLB","Energy","Equity","6,209,003.70","0.16","6,209,003.70","118,719.00","52.30","United States","NYSE","USD","1.00","USD","-"
"KLAC","KLA","Information Technology","Equity","5,812,078.08","0.15","5,812,078.08","34,728.00","167.36","United States","NASDAQ","USD","1.00","USD","-"
"VRSN","VERISIGN","Information Technology","Equity","5,727,447.40","0.14","5,727,447.40","19,190.00","298.46","United States","NASDAQ","USD","1.00","USD","-"
"AXON","AXON ENTERPRISE","Industrials","Equity","5,685,213.54","0.14","5,685,213.54","12,137.00","468.42","United States","NASDAQ","USD","1.00","USD","-"
"ZS","ZSCALER","Information Technology","Equity","5,612,910.84","0.14","5,612,910.84","29,298.00","191.58","United States","NASDAQ","USD","1.00","USD","-"
"BIIB","BIOGEN","Health Care","Equity","5,509,335.05","0.14","5,509,335.05","25,505.00","216.01","United States","NASDAQ","USD","1.00","USD","-"
