iShares Core S&P 500 ETF
Fund Holdings as of,"Sep 16, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"1,082,250,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"VRT","VERTIV HOLDINGS CLASS A","Industrials","Equity","1,169,222,418.06","0.14","1,169,222,418.06","4,883,766.00","239.41","United States","NYSE","USD","1.00","USD","-"
"DUK","DUKE ENERGY CORP","Utilities","Equity","1,167,277,629.44","0.14","1,167,277,629.44","9,912,344.00","117.76","United States","NYSE","USD","1.00","USD","-"
"BX","BLACKSTONE","Financials","Equity","1,166,011,174.50","0.14","1,166,011,174.50","9,445,210.00","123.45","United States","NYSE","USD","1.00","USD","-"
"GD","GENERAL DYNAMICS CORP","Industrials","Equity","1,161,732,960.00","0.14","1,161,732,960.00","3,227,036.00","360.00","United States","NYSE","USD","1.00","USD","-"
"HWM","HOWMET AEROSPACE","Industrials","Equity","1,158,465,470.49","0.14","1,158,465,470.49","5,087,013.00","227.73","United States","NYSE","USD","1.00","USD","-"
"ELV","ELEVANCE HEALTH INC","Health Care","Equity","1,139,113,227.60","0.14","1,139,113,227.60","2,761,085.00","412.56","United States","NYSE","USD","1.00","USD","-"
"CSX","CSX","Industrials","Equity","1,131,656,612.10","0.14","1,131,656,612.10","23,625,399.00","47.90","United States","NASDAQ","USD","1.00","USD","-"
"INTU","INTUIT","Information Technology","Equity","1,118,662,788.10","0.14","1,118,662,788.10","3,516,370.00","318.13","United States","NASDAQ","USD","1.00","USD","-"
"APP","APPLOVIN CLASS A","Communication","Equity","1,117,062,485.76","0.14","1,117,062,485.76","3,420,696.00","326.56","United States","NASDAQ","USD","1.00","USD","-"
"ICE","INTERCONTINENTAL EXCHANGE INC","Financials","Equity","1,107,986,550.90","0.13","1,107,986,550.90","7,190,049.00","154.10","United States","NYSE","USD","1.00","USD","-"
"WMB","WILLIAMS","Energy","Equity","1,102,479,543.80","0.13","1,102,479,543.80","15,549,782.00","70.90","United States","NYSE","USD","1.00","USD","-"
"JCI","JOHNSON CONTROLS INTERNATIONAL PLC","Industrials","Equity","1,089,654,867.29","0.13","1,089,654,867.29","7,757,207.00","140.47","United States","NYSE","USD","1.00","USD","-"
"MRSH","MARSH","Financials","Equity","1,082,814,791.04","0.13","1,082,814,791.04","6,125,904.00","176.76","United States","NYSE","USD","1.00","USD","-"
"MMM","3M","Industrials","Equity","1,078,622,095.45","0.13","1,078,622,095.45","6,631,553.00","162.65","United States","NYSE","USD","1.00","USD","-"
"CMCSA","COMCAST CLASS A","Communication","Equity","1,074,950,870.28","0.13","1,074,950,870.28","45,299,236.00","23.73","United States","NASDAQ","USD","1.00","USD","-"
"CEG","CONSTELLATION ENERGY CORP","Utilities","Equity","1,054,917,041.13","0.13","1,054,917,041.13","4,064,721.00","259.53","United States","NASDAQ","USD","1.00","USD","-"
"HOOD","ROBINHOOD MARKETS CLASS A","Financials","Equity","1,050,399,310.98","0.13","1,050,399,310.98","10,059,369.00","104.42","United States","NASDAQ","USD","1.00","USD","-"
"AMT","AMERICAN TOWER REIT","Real Estate","Equity","1,044,824,821.81","0.13","1,044,824,821.81","5,923,379.00","176.39","United States","NYSE","USD","1.00","USD","-"
"TMUS","T MOBILE US INC","Communication","Equity","1,042,863,793.72","0.13","1,042,863,793.72","5,916,622.00","176.26","United States","NASDAQ","USD","1.00","USD","-"
"EMR","EMERSON ELECTRIC","Industrials","Equity","1,038,497,866.53","0.13","1,038,497,866.53","7,121,291.00","145.83","United States","NYSE","USD","1.00","USD","-"
"TRV","TRAVELERS COMPANIES","Financials","Equity","1,024,394,684.28","0.12","1,024,394,684.28","2,703,459.00","378.92","United States","NYSE","USD","1.00","USD","-"
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Consumer Staples","Equity","1,017,769,141.40","0.12","1,017,769,141.40","16,320,865.00","62.36","United States","NASDAQ","USD","1.00","USD","-"
"WM","WASTE MANAGEMENT INC","Industrials","Equity","1,005,280,622.00","0.12","1,005,280,622.00","4,697,573.00","214.00","United States","NYSE","USD","1.00","USD","-"
"SLB","SLB","Energy","Equity","994,166,359.10","0.12","994,166,359.10","19,008,917.00","52.30","United States","NYSE","USD","1.00","USD","-"
"REGN","REGENERON PHARMACEUTICALS","Health Care","Equity","984,108,696.77","0.12","984,108,696.77","1,270,457.00","774.61","United States","NASDAQ","USD","1.00","USD","-"
"CDNS","CADENCE DESIGN SYSTEMS","Information Technology","Equity","981,559,757.70","0.12","981,559,757.70","3,506,823.00","279.90","United States","NASDAQ","USD","1.00","USD","-"
"EOG","EOG RESOURCES","Energy","Equity","981,464,655.63","0.12","981,464,655.63","6,771,991.00","144.93","United States","NYSE","USD","1.00","USD","-"
"MSI","MOTOROLA SOLUTIONS INC","Information Technology","Equity","971,888,696.10","0.12","971,888,696.10","2,110,370.00","460.53","United States","NYSE","USD","1.00","USD","-"
"DDOG","DATADOG INC CLASS A","Information Technology","Equity","970,765,745.67","0.12","970,765,745.67","4,206,273.00","230.79","United States","NASDAQ","USD","1.00","USD","-"
"GM","GENERAL MOTORS","Consumer Discretionary","Equity","966,337,984.76","0.12","966,337,984.76","11,464,444.00","84.29","United States","NYSE","USD","1.00","USD","-"
"HPE","HEWLETT PACKARD ENTERPRISE","Information Technology","Equity","956,200,215.36","0.12","956,200,215.36","16,870,152.00","56.68","United States","NYSE","USD","1.00","USD","-"
"DASH","DOORDASH CLASS A","Consumer Discretionary","Equity","946,744,385.96","0.11","946,744,385.96","4,811,671.00","196.76","United States","NASDAQ","USD","1.00","USD","-"
